section-result-title,section-result-details,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,section-result-info 2
Jollibee Guadalupe,Fast Food,4.1,(688),₱,R. Duterte St,Fast-food chain with Filipino flavors,Open until 6:00 pm,Takeaway,Closed
Andok's,Fast Food,3.8,(130),₱,Gov. M. Cuenco Ave,Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery,Temporarily closed
Hugot Fastfood,Diner,3.7,(29),,259 Tres de Abril St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
MyJoy,Fast Food,3.8,(28),,10 Apitong St,Quick stop for familiar Chinese fare,Open until 10:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.1,(277),₱,"President Osmeña Blvd, Corner Arlington Pond St",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery · Takeaway,
Andok's,Fast Food,3.5,(6),₱,,Fast-food chain with Filipino flavors,Open until 8:30 pm,Delivery,Temporarily closed
Jollibee,Fast Food,4.1,(119),₱,"ayala center cebu, 3rd Floor, Paseo Verde, Archbishop Reyes Ave",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,
BonChon,Fast Food,2.5,(4),₱₱,"Mactan Cebu International Airport Terminal, 2",Korean fried chicken specialist,Open until 11:30 pm,Delivery · Takeaway,
Burger King,Fast Food,4.0,(1),,"Northdrive, Ouano Avenue",Fast-food chain with Filipino flavors,Open until 11:00 pm,Delivery · Takeaway,Temporarily closed
Sr. Pedro,Fast Food,5.0,(4),,Hernan Cortes St,Quick stop for familiar Chinese fare,Open until 9:00 pm,Delivery,
KFC Fuente Osmeña,Fast Food,3.8,(336),₱,"Doña Luisa Building, G/F, Fuente Osmeña Cir",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,3.6,(22),₱,"2nd Gaisano Country Mall, Gov. M. Cuenco Ave",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Andoks,Fast Food,4.0,(86),,"Mabolo, M. J. Cuenco Avenue, 6000, Cebu City, Cebu",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
KFC,Fast Food,4.3,(3),₱,SM,Quick stop for familiar Chinese fare,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.1,(300),₱,Cebu N Rd,Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery · Takeaway,Temporarily closed
Tokyo Tokyo,Japanese,3.3,(8),₱₱,"SM Seaside, F Vestil St Cor SRP",Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery · Takeaway,
Mang Inasal,Fast Food,2.7,(13),₱,G/F Gaisano Fiesta Mall Tabunok 6045,Fast-food fried chicken chain,Open until 8:00 pm,Delivery,Temporarily closed
Okinawa Heat - SM Foodcourt,Fast Food,5.0,(2),,SM City Cebu,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Ngohiong Express,Takeout Restaurant,3.8,(22),,Francisco Llamas St,Iconic fast-food burger & fries chain,Open until 11:30 pm,Takeaway,
Andok's,Fast Food,3.6,(41),₱,,Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery · Takeaway,Temporarily closed
MyJoy SM Seaside,Fast Food,4.5,(2),,,Fast-food chain with Filipino flavors,Open until 10:00 pm,Takeaway,Closed
KFC Mandaue,Fast Food,4.0,(421),₱,"RAMCAR Building, M. C. Briones Avenue, Maguikay Mandaue",Fast-food fried chicken chain,Open until 11:00 pm,Delivery,Temporarily closed
Abeth's Fastfood,Fast Food,3.0,(2),,,Fast-food chain with Filipino flavors,Open until 5:00 pm,Delivery,
Kenny Rogers Roasters,Chicken,3.9,(72),₱₱,"SM City Cebu, Upper Ground",Quick stop for familiar Chinese fare,Open until 9:00 pm,Delivery · Takeaway,
Rustic Chef's,Restaurant,4.2,(108),₱,Maximo V. Patalinghug Jr. Avenue,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Maxs Restaurant,Filipino,4.0,(33),₱₱,"3rd Level SM City corner Cabahug and Kaoshiung Streets, Mabolo, 6000, Juan Luna Extension",Chain eatery for Filipino fried chicken,Open until 9:00 pm,Delivery,Temporarily closed
Kuzina Guadalupe,Restaurant,3.8,(27),,M. Velez St,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
Max's Restaurant BTC,Restaurant,3.9,(89),₱₱,"GCA Building, 13 Gov. M. Cuenco Ave",Chain eatery for Filipino fried chicken,Open until 10:00 pm,Delivery · Takeaway,
Jollibee,Fast Food,4.3,(211),₱,C Central Nautical Hwy,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Persian Palate,Persian,4.1,(271),₱₱,"Active Zone, Ayala Center Cebu, Archbishop Reyes Ave",Quick stop for familiar Chinese fare,Open until 9:00 pm,Delivery,Temporarily closed
BonChon,Restaurant,2.9,(9),₱₱,SM Seaside City,Korean fried chicken specialist,Open until 8:00 pm,Delivery,
Classic Savory,Restaurant,3.6,(5),₱₱,SM,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Braddex,Restaurant,4.2,(282),₱,Katipunan St,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Jollibee,Fast Food,4.1,(265),₱,,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Classic Savory,Takeout Restaurant,4.1,(9),₱₱,"SM Seaside, F Vestil St Cor SRP",Fast-food chain with Filipino flavors,Open until 9:00 pm,Takeaway,Temporarily closed
Patty Pie,Restaurant,3.9,(47),,Cebu South Coastal Rd,Iconic fast-food burger & fries chain,Open until 9:00 pm,Takeaway,
Sinangag Station,Restaurant,4.3,(77),,R. Landon St,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Temporarily closed
Barikata Ramen Bar,Ramen,4.2,(152),,"G/F Calyx Building West Geonzon Street IT park Lungsod ng Cebu PH, W Geonzon St",Fast-food chain with Filipino flavors,Open until 10:30 pm,Delivery,
Ngohiong Express,Restaurant,4.1,(175),,"Ayala access road (axis), Mactan St",Iconic fast-food burger & fries chain,Open until 1:00 am,Takeaway,
Special Ngohiong Express,Takeout Restaurant,5.0,(1),,85 Osmeña Blvd,Korean fried chicken specialist,Open until 10:30 pm,Takeaway,Temporarily closed
Rai Rai Ken,Japanese,3.7,(58),,,Fast-food chain with Filipino flavors,Open until 10:00 pm,Takeaway,Closed
Classic Savory,Restaurant,4.2,(6),,"Space 2107, 2F SM City Cebu, North Reclamation Area, Cebu City",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Temporarily closed
Doming's Ngohiong,Chinese,3.9,(105),,"Door #1 G/F Pacific Tourist Inn M. Gotianuy Bldg., V. Gullas St., 6000, Balintawak",Iconic fast-food burger & fries chain,Open until 7:00 pm,Delivery,
My Joy,Restaurant,4.2,(133),,Osmeña Blvd,Quick stop for familiar Chinese fare,Open until 8:00 pm,Delivery,
Conching Native Chicken,Restaurant,3.8,(184),₱₱,Juan Luna St. North Reclamation Area,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Ribshack,Restaurant,4.1,(124),,"SM City Cebu Juan Luna Ave. Corner Cabahug And, Kaohsiung St",Chain eatery for Filipino fried chicken,Open until 9:00 pm,Delivery,Temporarily closed
Bigby's Cafe & Restaurant - SM Seaside,Restaurant,4.0,(8),,"Lower Ground Floor, Mountain Wing SM Seaside City",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Sinangag Station,Takeout Restaurant,3.6,(109),,2 Gorordo Ave,Chain eatery for Filipino fried chicken,Open until 10:00 pm,Takeaway,
Papsy's BBQ,Restaurant,3.6,(5),,"Grand Gaisano Minglanilla Dept Store, Natalio B. Bacalso S National Hwy",Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
"Merzci Guihulngan-Bakeshop, Fastfood and Pasalubong",Bakery,4.3,(3),₱,Paterno St,Quick stop for familiar Chinese fare,Open until 8:30 pm,Delivery,Closed
"Merzci Escalante - Bakeshop, Pasalubong and Fastfood",Bakery,4.0,(2),₱,Gamao St,Korean fried chicken specialist,Open until 8:00 pm,Delivery,
Quality Fast Food Center,Fast Food,4.4,(57),,"State Highway 11, PC Bose Ln",Fast-food chain with Filipino flavors,Opens at 1:30 pm,Delivery,Closed
The Number One FastFood,Fast Food,4.0,(267),,5425 Sheldon Rd,Fast-food chain with Filipino flavors,Opens at 5:00 pm,Takeaway,Closed
M.R.B,Fast Food,4.2,(250),,"Hatigaon Main Rd, Opposite Little Flower School, beside Silentro, Restaurant",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery · Takeaway,Closed today
LEON,Fast Food,4.2,(287),,33 Eastcastle St,Counter-serve Mediterranean restaurant,Open until 8:00 pm,Takeaway,Temporarily closed
Friends Fast Food,Fast Food,4.1,(35),,Kirba Chowk,Iconic fast-food burger & fries chain,Opens at 5:00 pm,Takeaway,Closed
Chick-fil-A,Fast Food,4.4,"(4,243)",₱,785 116th Ave NE,Fast-food chain for chicken sandwiches,Opens at 6:00 am,Delivery,Closed
Del Taco,Fast Food,4.1,(981),₱,103 E 3rd St,Fast-food chain for Mexican classics,Open until 9:00 pm,Delivery · Takeaway,
Del Taco,Fast Food,4.1,"(1,014)",₱,2330 S Harbor Blvd,Fast-food chain for Mexican classics,Open until 10:00 pm,Delivery · Takeaway,
Del Taco,Fast Food,3.7,(757),₱,3020 Los Feliz Blvd,Fast-food chain for Mexican classics,Opens at 6:00 am,Delivery,Closed
Burger King,Fast Food,3.9,"(2,095)",₱,53-54 O'Connell Street Lower,Fast-food chain for grilled burgers,Open until 5:00 pm,Delivery · Takeaway,Closed
Dick's Drive-In,Fast Food,4.5,"(6,038)",₱,115 Broadway E,Celebrated 1950s fast-food joint,Open until 2:00 am,Takeaway,Temporarily closed
ATF Fast Food,Fast Food,3.7,(94),,Koohestan Blvd,Fast-food chain with Filipino flavors,Open until 11:59 pm,Delivery,
Cebu Fastfood,Fast Food,4.0,(18),,,Quick stop for familiar Chinese fare,Opens at 12:00 am,Delivery,Closed
Triple V Express Fastfood,Fast Food,3.9,(265),,,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,
McDonald's,Fast Food,4.0,(57),₱,Cebu City,Iconic fast-food burger & fries chain,Open until 8:00 pm,Delivery,Temporarily closed
Abeth's Fastfood,Fast Food,3.0,(2),,,Fast-food chain with Filipino flavors,Open until 5:00 pm,Delivery,
ESKINA Fastfood,Fast Food,3.6,(109),,Cebu City,Fast-food chain with Filipino flavors,Open until 10:00 pm,Takeaway,
Orange Brutus,Fast Food,2.2,(6),,Cebu City,Fast-food chain with Filipino flavors,Open until 8:30 pm,Delivery,Temporarily closed
Burger King,Fast Food,4.2,(713),₱₱,Cebu City,Fast-food chain for grilled burgers,Open until 5:00 pm,Delivery,Closed
Jollibee,Fast Food,3.6,(31),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
Chrisdon Restaurant,Fast Food,4.5,(2),,Cebu City,Fast-food chain with Filipino flavors,Opens at 1:30 pm,Delivery,Closed
Orange Brutus,Fast Food,4.0,(6),,Cebu City,Fast-food chain with Filipino flavors,Open until 10:00 pm,Takeaway,Closed
JohnChrisTyl Fastfood,Restaurant,5.0,(1),,Cebu City,Fast-food chain with Filipino flavors,Opens at 6:00 am,Delivery · Takeaway,Closed
"Remros Food, Inc.",Fast Food,4.2,(287),,Mandaue City,Counter-serve Mediterranean restaurant,Open until 8:00 pm,Takeaway,Temporarily closed
Jollibee,Fast Food,4.0,(128),₱,Cebu City,Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
M & J Fastfood,Takeout Restaurant,4.4,"(4,243)",,Mandaue City,Fast-food chain for chicken sandwiches,Opens at 6:00 am,Takeaway,Closed
