section-result-title,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-details,section-result-location,section-result-description,section-result-info,e0HygkTYhQy__attribute-content,section-result-info 2
Cebu Lumpia House,4.0,(56),,Fast Food,262 Manalili St,Fast-food fried chicken chain,Open until 5:30 pm,Delivery,
Yongco Food Snack,3.0,(1),,Takeout Restaurant,Metro Colon,Fast-food chain with Filipino flavors,Open until 8:30 pm,Takeaway,
Dimsum Break,3.9,(174),₱₱,Fast Food,"G/F North Arcade, Banilad Town Centre, Gov. M. Cuenco Ave",Iconic fast-food burger & fries chain,Open until 1:30 am,Delivery,
KFC Cebu IT Park,3.9,(67),₱,Fast Food,G/F i2 & i3 Building Asia Town IT Park Apas,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
"Shangri-La's Mactan Resort and Spa, Cebu",4.6,"(7,102)",,5-star hotel,,Tropical beachfront resort & luxury spa,Open until 9:00 pm,Delivery,
Zark's Burgers,4.0,(426),₱₱,Hamburger,"SM City Cebu, Upper Ground",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,
Burger King,4.2,(132),₱₱,Restaurant,2/F Northdrive Mall,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery · Takeaway,
Ngohiong Express,4.1,(18),,Takeout Restaurant,M. Gov. Roa St,Fast-food chain with Filipino flavors,Open until 11:00 pm,Takeaway,Temporarily closed
La Lucha Taqueria,4.3,(78),,Mexican,"Mango Square, Juana Osmeña St",Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Dimsum Break,4.1,(44),₱₱,Dim Sum,139 Colon St,Quick stop for familiar Chinese fare,Open until 9:00 pm,Delivery,Temporarily closed
Yakimix,4.1,(712),₱₱,Buffet,"NIC 2 Building Capitol Square, N Escario St",Quick stop for familiar Chinese fare,Reopens at 5:30 pm,Takeaway,Closed
"Tol kambingan, larangan atbp",4.5,(109),,Restaurant,A. Climaco St,Fast-food chain with Filipino flavors,Open until 1:00 am,Delivery,Temporarily closed
Manggahan Bar and Grilling,4.2,(212),₱₱,Restaurant,30 Wilson St,Fast-food chain with Filipino flavors,Open until 3:00 am,Delivery,Temporarily closed
DAE GA Eat All You Can Traditional Korean Food Restuarant,4.2,(65),,Korean,city time square,Fast-food fried chicken chain,Open until 12:00 am,Delivery,
Joven's Grill,4.0,(97),₱₱,Restaurant,Unnamed Road,Fast-food fried chicken chain,Open until 6:00 pm,Delivery,Temporarily closed
Casa Verde,4.2,"(1,060)",₱₱,Restaurant,69 Lim Tian Teng,Fast-food chain with Filipino flavors,Open until 10:00 pm,Delivery,Temporarily closed
Wingers Unlimited,4.0,(586),₱₱,Restaurant,"Alfresco Area Mango Square, General Maxilom Ave",Fast-food fried chicken chain,Open until 11:00 pm,Delivery · Takeaway,
Pure Foods Tender Juicy,4.0,(1),,Takeout Restaurant,"Grand Mall, Basak-Sisi-Agus Rd",Fast-food chain with Filipino flavors,Open until 6:00 pm,Takeaway,Temporarily closed
Blue Elephant,4.3,(919),₱₱,Lounge,"AppleOne Equicom Tower, Mindanao Ave",Korean fried chicken specialist,Open until 10:00 pm,Delivery,Temporarily closed
Banana Leaf,3.9,(79),₱₱,Restaurant,"GF, ayala center cebu, Bohol Ave",Fast-food fried chicken chain,Open until 8:00 pm,Takeaway,
Hugot Fastfood,4.0,(146),,Diner,259 Tres de Abril St,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,
Yolk - Filinvest Cyberzone (IT Park),4.4,(188),,Restaurant,W Geonzon St,Fast-food chain with Filipino flavors,Open until 7:00 pm,Delivery,
Samgyupsalamat Unli-Korean BBQ,4.5,(368),₱₱,Korean BBQ,"The Ridges, Commercial Center, F. Cabahug St",Iconic fast-food burger & fries chain,Open until 2:00 am,Delivery,
Sbarro,3.9,(19),,Pizza,SM City Cebu - Motorcycle Parking 2,Fast-food chain for pizza & pasta,Open until 9:00 pm,Delivery,
Fiesta Bay Restaurant,4.1,(362),₱₱,Restaurant,Punta Engaño Road,Tropical beachfront resort & luxury spa,Open until 10:00 pm,Cebu eats: 5 unique dining destinations in Mactan,
Max's Restaurant BTC,3.9,(89),₱₱,Restaurant,"GCA Building, 13 Gov. M. Cuenco Ave",Chain eatery for Filipino fried chicken,Open until 10:00 pm,Delivery,
Kuya Simo's Larangan,4.3,(238),₱,Restaurant,,Iconic fast-food burger & fries chain,Open until 4:00 am,Tisa Through a Hungry Stomach,
Sans Rival,4.2,(161),,Restaurant,General Maxilom Ave Ext,Chain eatery for Filipino fried chicken,Open until 9:00 pm,Takeaway,Temporarily closed
Virginia Hotdog Station,5.0,(1),,Hot Dog Stand,Gaisano Grand Mandaue North,Fast-food fried chicken chain,Open until 9:00 pm,Delivery,Closed
Special Ngohiong Express,5.0,(1),,Takeout Restaurant,85 Osmeña Blvd,Quick stop for familiar Chinese fare,Open until 11:00 pm,Takeaway,Temporarily closed
Papsy's BBQ TISA,3.8,(56),,Restaurant,"Gaisano Tisa, Katipunan St",Quick stop for familiar Chinese fare,Open until 9:00 pm,Takeaway,Closed
Ribshack - Super Metro,4.2,(72),,Restaurant,"Ground Floor, Super Metro, Junquera St, cor Colon St",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Temporarily closed
Sumo Sam,3.8,(55),,Japanese,"Ground Floor, The Terraces, Ayala Center Cebu",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,Temporarily closed
Dimsum Break,3.7,(64),₱₱,Dim Sum,General Maxilom Ave,Fast-food fried chicken chain,Open until 2:00 am,Delivery,
Ayer Lechon,4.0,(156),,Restaurant,6000 General Maxilom Ave,Fast-food fried chicken chain,Open until 4:00 am,Delivery,Temporarily closed
Tokyo Tokyo Philippines,3.6,(22),₱₱,Japanese,"G/F, SM Seaside, Reclamation Area",Fast-food chain with Filipino flavors,Open until 9:00 pm,Delivery,Closed
Ngohiong Express,4.2,(133),,Restaurant,"Ayala access road (axis), Mactan St",Fast-food fried chicken chain,Open until 8:00 pm,Delivery,
Dimsum Break IT Park,3.7,(91),₱₱,Dim Sum,,Fast-food chain with Filipino flavors,Open until 6:00 pm,Takeaway,Temporarily closed
Ayer’s Lechon,2.6,(31),,Restaurant,,Korean fried chicken specialist,Open until 10:00 pm,Delivery,Temporarily closed
Pepper Lunch,3.9,(7),₱₱,Restaurant,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Fast-food fried chicken chain,Open until 10:00 pm,Takeaway,
Pizza Hut Fuente Osmena,3.8,(127),₱₱,Pizza,"Pizza Hut Fuente Osmena, Angeles Du Building 2, Fuente Osmena",Casual pizza chain with wide selection,Open until 10:00 pm,Delivery · Takeaway,
Pizza Pedrico's,4.3,(4),,Pizza,"Gaisano Mactan Island Mall, Guezon National Highway",Fast-food chain with Filipino flavors,Open until 8:00 pm,Delivery,
Kotobukiya,4.3,(3),,Restaurant,,Iconic fast-food burger & fries chain,Open until 9:00 pm,Delivery,
