section-result-title,section-result-details,cards-rating-score,section-result-num-ratings,section-result-cost,section-result-location,section-result-description,section-result-info,section-result-info 2,e0HygkTYhQy__attribute-content
Orange Brutus,Fast Food,4.0,(32),,"E Mall, Cor Leon Kilat St N Bacalso Ave",Quick stop for familiar Chinese fare,Open until 8:00 pm,Temporarily closed,Delivery
Pritong Manok,Fast Food,4.3,(6),,"4Th Floor, Food Choices, Archbishop Reyes Avenue, Ayala Center Cebu",Fast-food chain with Filipino flavors,Temporarily closed,Open until 9:00 pm,Delivery
Dimsum Break,Fast Food,3.8,(21),₱₱,"Ground Floor, Elizabeth Mall N. Bacalso Ave, cor Leon Kilat St",Fast-food chain with Filipino flavors,Open until 8:00 pm,,Delivery
Jollibee,Fast Food,3.8,(63),₱,Colon St,Fast-food chain with Filipino flavors,Open until 11:00 pm,Closed,Delivery
Spicy 'N Sweet Restaurant,Fast Food,4.1,(493),,Don Gil Garcia Street,Fast-food chain with Filipino flavors,,Open until 9:00 pm,Delivery
Carenderia,Fast Food,3.2,(6),,E Sabellano Street,Fast-food chain with Filipino flavors,Open until 12:00 am,Temporarily closed,Delivery
Orange Brutus,Fast Food,3.4,(5),,Osmeña Blvd,Fast-food chain with Filipino flavors,Open until 10:00 pm,,Delivery
Anthony's Eatery,Fast Food,3.0,(1),,"M.L Quezon Avenue, Pajo",Fast-food chain with Filipino flavors,Temporarily closed,Open until 8:00 pm,Delivery
Grill sa Salinas,Fast Food,4.1,(52),,"Salinas Drive, Lahug",Iconic fast-food burger & fries chain,,,Delivery · Takeaway
Crepe a Go-Go,Fast Food,4.0,(43),,"4Th Floor, Ayala Center Cebu, Archbishop Reyes Avenue, Cebu Business Park",Fast-food chain with Filipino flavors,,Open until 8:00 pm,Delivery
Lola Inda Fast Food,Fast Food,1.0,(1),,F. Ramos St,Fast-food fried chicken chain,Open until 7:30 pm,,Delivery
Mamang's Bachoy,Fast Food,4.2,(40),,"3rd level, J Centre Mall",Fast-food chain with Filipino flavors,Open until 9:00 pm,,Delivery
Majestic,Fast Food,3.8,(28),,"Robinsons Place Cebu, Fuente Osmeña Boulevard, Sta. Cruz",Fast-food chain with Filipino flavors,Temporarily closed,Open until 10:00 pm,Delivery
