section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-cost,section-result-description,e0HygkTYhQy__content,section-result-info 2
Maxs Restaurant,4.0,(33),₱₱,Filipino,"3rd Level SM City corner Cabahug and Kaoshiung Streets, Mabolo, 6000, Juan Luna Extension",Closed,Opens at 10:00 am,Takeaway,Chain eatery for Filipino fried chicken
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
I Love Bucket Shrimps - Capitol,4.4,(566),₱₱,Seafood,A. Climaco St,Closed,Opens at 11:00 am,Takeaway,
Kogi-Q SM City Cebu,4.1,(216),₱₱,Filipino,114 Pope John Paul II Ave,Closed,Opens at 10:00 am,Takeaway,
Restaurant Kamekichi,3.0,(2),,Asian,"Socorro Estenza Building, M.L. Quezon Street, Cabancalan",Closing soon: 10:00 pm,Closed,Takeaway,
Back Yard Burgers,3.0,(1),,Fast Food,ParkMall Cebu,Opens at 10:00 am,Temporarily closed,Dine-in · Delivery · Takeaway,Chain with creative burgers & shakes
Joven's Grill Restaurant,3.8,(99),,Restaurant,727a A.S.Fortuna,Closing soon: 10:30 pm,Closed,Delivery · Takeaway,
Wang Shan Lo Chinese Cuisine,3.7,(29),,Chinese,"Crown Regency Hotel Towers, 20/F Tower 2- Club Ultima, Osmeña Blvd",Closed,Closing soon: 10:00 pm,Delivery,Fast-food chain with Filipino flavors
Vibes Gourmet,4.3,(32),,Restaurant,2 Gov. M. Roa St,Opens at 11:00 am,Closed,12 of the Best Restaurants in Cebu You’ll Only Find There,
Café Laguna - SM City Cebu,4.1,(39),₱₱,Filipino,"SM City Cebu, The Northwing, Kaohsiung St",Closed,Opens at 10:00 am,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Kuya J Restaurant,3.7,(104),₱₱,Restaurant,Biliran Rd,Closing soon: 10:00 pm,Closed,Takeaway,
Golden Cowrie,4.0,(29),₱₱,Filipino,"Lower Ground, SM City Cebu, North Reclamation Area, Mabolo Proper, Cebu City, Cebu",Closed,Opens at 10:00 am,Takeaway,"Grilled meats, seafood & Filipino plates"
Cio's Kitchen,4.1,(72),,Restaurant,2 E Benedicto St,Closed,Opens at 8:00 am,Takeaway,"Grilled meats, seafood & Filipino plates"
Saigon Quan Parkmall,5.0,(1),,Vietnamese,,Opens at 10:00 am,Closed,Delivery,Fast-food chain for grilled burgers
Tempura Japanese Grill,4.3,(7),,Restaurant,Ground Floor 109-110 Northwing SM City Cebu,Closed,Opens at 10:00 am,10 Most Romantic Restaurants in Mactan,Stylish open-air spot for pub fare
Restaurant Wok,4.2,(85),,Restaurant,"Jinju Square, M.L. Quezon National Highway",Closed,Open until 11:00 pm,Takeaway,
Lantaw Floating Native Restaurant - Cordova,4.1,"(2,066)",₱₱,Filipino,Sa Baybayon,Closed,Open until 11:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual pizza chain with a kids' fun zone
Zupremo Bar and Restaurant,4.1,(34),,Grill,,Closed,Open until 2:00 am,Delivery,Fast-food fried chicken chain
GPL Special,4.5,(10),,Takeout Restaurant,R. Duterte St,Closed,Opens at 8:00 am,Takeaway,Iconic fast-food burger & fries chain
Tempura,4.0,(1),,Tempura,"SM City Cebu, Juan Luna Ave Cor Cabahug And Kaoshiung St",Closed,Opens at 10:00 am,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
Lantaw Talisay,4.0,(688),₱₱,Filipino,Cebu South Coastal Rd,Closed,Open until 12:00 am,Takeaway,
Manila Foodshoppe,4.0,(263),₱₱,Filipino,Manalili St,Closed,Opens at 9:00 am,Delivery,Chain eatery for Filipino fried chicken
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Ginza Restaurant Inc.,4.4,(117),,Japanese,295 J. Panis St,Closed,Closing soon: 10:00 pm,Takeaway,
Tavolata,4.5,(237),,Italian,"Design Center of 6014, A. S. Fortuna St",Closed,Closing soon: 10:00 pm,Takeaway,Korean fried chicken specialist
The Meat House,4.4,(76),,Restaurant,J. Panis St,Closed,Closing soon: 10:00 pm,Takeaway,
Patio Isabel,4.1,(108),,Restaurant,J. Panis St,Temporarily closed,Closing soon: 10:00 pm,Dine-in · Delivery · Takeaway,Chain with creative burgers & shakes
Lighthouse Restaurant,4.2,(106),,Restaurant,Wilson St,Closed,Closing soon: 10:00 pm,Delivery · Takeaway,
The Weekend,4.4,(67),,Restaurant,"88th Ave, Gov. M. Cuenco Ave",Closed,Open until 11:30 pm,Delivery,Fast-food chain with Filipino flavors
Akita Japanese Restaurant,4.0,(22),,Restaurant,"Gaisano Country Mall, Banilad Rd",Closed,Closing soon: 10:00 pm,12 of the Best Restaurants in Cebu You’ll Only Find There,
Maya Mexican Restaurant,4.3,(493),₱₱₱,Mexican,Crossroads Mall,Closed,Open until 11:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Trattoria da Gianni,4.3,(100),,Restaurant,"The Crossroads, Gov. M. Cuenco Ave",Closed,Closing soon: 10:00 pm,Takeaway,
Phat Pho Vietnamese Restaurant,4.7,(28),,Restaurant,"GF , Crossroads Mall, Governor M.Cuenco Avenue , 6000 Cebu City , Cebu",Closed,Closing soon: 10:00 pm,Takeaway,"Grilled meats, seafood & Filipino plates"
Max's Restaurant BTC,3.9,(89),₱₱,Restaurant,"GCA Building, 13 Gov. M. Cuenco Ave",Closed,Closing soon: 10:00 pm,Takeaway,Chain eatery for Filipino fried chicken
Pearl Korean Meat Shop & Restaurant,4.1,(222),,Korean,"Gaisano Country Mall, Gov. M. Cuenco Ave",Closed,Closing soon: 10:00 pm,Delivery,Fast-food chain for grilled burgers
Das Bierfass Cebu - The Beer Barrel Cebu,4.5,(167),₱₱,German,"Unit 103 Banilad Town Center(BTC, Gov. M. Cuenco Ave",Temporarily closed,Opens at 10:00 am,10 Most Romantic Restaurants in Mactan,Stylish open-air spot for pub fare
Katzpapa,4.5,(62),,Restaurant,,Closed,Closing soon: 10:00 pm,Takeaway,
Manuel's Restaurant,4.6,(72),,Restaurant,,Closed,Closing soon: 10:00 pm,Breakfast Restaurants in Cebu to Start Your Day Right,Casual pizza chain with a kids' fun zone
Ebisuya Japanese Restaurant,4.3,(126),₱₱,Fusion restaurant,1 Paseo Saturnino,Closed,Open until 11:00 pm,Delivery,Fast-food fried chicken chain
Albur's All In Pizza Burger Grill,4.2,(477),₱₱,Restaurant,Gen. Lim St,Closed,Open until 1:00 am,Takeaway,Iconic fast-food burger & fries chain
ONE FOR THE ROAD Bar and Restaurant,4.8,(10),,Restaurant,,Closed,Open until 2:00 am,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
Olio Restaurant,4.6,(38),,Fine Dining,"Unit T Crossroad Mall, Banilad",Closed,Open until 11:00 pm,Takeaway,
one point restaurant,4.5,(17),,Restaurant,PH cebu Mandaue City Htt building,Closed,Open until 5:00 am,Delivery,Chain eatery for Filipino fried chicken
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Anzani,4.2,(386),₱₱₱,Restaurant,"Bellini Champagne Lounge and Live music Bar, Panorama Heights Nivel Hills",Closed,Open until 12:00 am,Takeaway,
Tsay Cheng,4.3,(249),₱₱,Chinese,Archbishop Reyes Ave,Closed,Closing soon: 10:00 pm,Takeaway,Korean fried chicken specialist
Golden Cowrie,4.1,(472),₱₱,Filipino,42 Salinas Dr,Closed,Closing soon: 10:00 pm,Delivery,
Pancake House,4.2,(116),₱₱,Restaurant,"No. 880 A.S. Fortuna St., Banilad Mandaue Cebu, A. S. Fortuna St",Temporarily closed,Closing soon: 10:00 pm,Dine-in · Delivery · Takeaway,Chain with creative burgers & shakes
Gorliz Tapas Y Vinos Spanish Restaurant,4.5,(121),,Spanish,"2nd Floor Streetscape Cebu, Paseo Saturnino",Closed,Open until 11:00 pm,12 of the Best Restaurants in Cebu You’ll Only Find There,
Da-In Korean Restaurant,4.2,(13),,Korean,42 Salinas Dr,Temporarily closed,Open until 12:00 am,Delivery,Fast-food chain with Filipino flavors
Bigby's Cafe,4.3,(21),,Restaurant,,Closed,Closing soon: 10:00 pm,12 of the Best Restaurants in Cebu You’ll Only Find There,
Choobi Choobi,4.2,(453),₱₱,Filipino,F. Cabahug St,Closed,Closing soon: 10:30 pm,Delivery,Casual-chic spot for Filipino plates
Grand Majestic Restaurant,4.1,(28),,Restaurant,"Archbishop Reyes Avenue, Cebu City, Cebu",Closed,Closing soon: 10:00 pm,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Isla Sugbo Seafood City,4.1,"(1,172)",,Seafood,Archbishop Reyes Ave,Closed,Closing soon: 10:00 pm,Takeaway,"Grilled meats, seafood & Filipino plates"
Joed's Lutong Hapon,3.9,(409),₱,Japanese,299 Pres. Quirino St,Closed,Open until 4:00 am,Takeaway,Chain eatery for Filipino fried chicken
Pang Panga Restaurant,3.9,(207),₱₱,Korean,A. S. Fortuna St,Open until 12:00 am,Closed,Delivery,Fast-food chain for grilled burgers
Buffet 101,4.3,"(1,632)",₱₱,Buffet,City Time Square,Temporarily closed,Open until 11:00 pm,10 Most Romantic Restaurants in Mactan,Stylish open-air spot for pub fare
415 Dining Room,4.1,(138),₱₱,Korean BBQ,"FLC Center, 888 Hernan Cortes St",Closed,Open until 3:00 am,Takeaway,
100 Years Korean Barbeque & Restaurant,4.6,(20),,Korean BBQ,Unnamed Road,Closed,Open until 11:00 pm,Breakfast Restaurants in Cebu to Start Your Day Right,Chain eatery for Filipino fried chicken
Bab Jib Restaurant,4.3,(37),,Korean,"AGMD bldg, A. S. Fortuna St",Closed,Open until 12:00 am,Delivery,Fast-food fried chicken chain
Bonne Ga Restaurant,4.3,(11),,Korean,"Upper Ground Terrace, J Centre Mall",Temporarily closed,Open until 11:00 pm,Takeaway,Iconic fast-food burger & fries chain
Boosog,4.1,(130),₱₱,Restaurant,301 Pope John Paul II Ave,Closed,Closing soon: 10:00 pm,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
Leega Korean Restaurant,3.6,(328),,Restaurant,A. S. Fortuna St,Closed,Open until 12:00 am,Takeaway,
Sugbufé,4.1,(208),₱₱,Restaurant,,Closed,Closing soon: 10:00 pm,Breakfast Restaurants in Cebu to Start Your Day Right,Chain eatery for Filipino fried chicken
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Nonki Japanese Restaurant - Main Branch,4.3,(325),,Japanese,219 A. S. Fortuna St,Closed,Open until 11:00 pm,Takeaway,
Wakamatsu Yakiniku Japanese Restaurant,3.9,(332),₱₱₱,Japanese,"Pacific Square Building, F. Cabahug St",Closed,Closing soon: 10:30 pm,Takeaway,Korean fried chicken specialist
Abaca Baking Company,4.6,(507),₱₱,Restaurant,"Crossroads, Banilad Rd",Closed,Closing soon: 10:00 pm,"""The price is a bit high compare to other Philipino restaurant.""",
Yellow Cab Pizza Co.,4.1,(384),₱₱,Pizza,W Geonzon St,Closing soon: 10:00 pm,Temporarily closed,Delivery,Chain with creative burgers & shakes
Tops Korean Restobar,4.3,(145),₱₱,Korean,Cebu Veterans Dr,Closed,Closing soon: 10:00 pm,12 of the Best Restaurants in Cebu You’ll Only Find There,
Yumeya Kihei Japanese Restaurant,4.2,(94),,Restaurant,"Paciic Square, F. Cabahug St",Temporarily closed,Closing soon: 10:30 pm,Delivery,Fast-food chain with Filipino flavors
Angel's Hamburger,4.0,(1),₱,Takeout Restaurant,Gov. M. Cuenco Ave,Closing soon: 10:00 pm,Closed,Takeaway,
luca's test kitchen,5.0,(1),,Restaurant,A. S. Fortuna St,Closed,Closing soon: 10:00 pm,Delivery,Casual-chic spot for Filipino plates
Shaka's Hawaiian Restaurant,3.9,(710),₱₱,Hawaiian,"Teleperformance, I. Villa St",Closed,Open until 2:00 am,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Zark's Burgers,4.0,(222),,Restaurant,"eBloc 1 Tower, Jose Maria del Mar St",Closed,Open until 12:00 am,Takeaway,"Grilled meats, seafood & Filipino plates"
Sachi,4.2,(107),,Ramen,,Closed,Open until 11:00 pm,Takeaway,Chain eatery for Filipino fried chicken
Wok'd Thai Restaurant,4.2,(22),,Thai,"Streetscape Cebu, Paseo Saturnino",Closed,Closing soon: 10:00 pm,Delivery,Fast-food chain for grilled burgers
Ume Japanese Cuisine,4.5,(17),,Japanese,"Ground floor, bai Hotel Cebu Ouano Ave, cor C.D.Seno",Temporarily closed,Closing soon: 10:00 pm,Takeaway,Stylish open-air spot for pub fare
Maroo Korean Restaurant,4.2,(293),₱₱,Korean,Paseo Saturnino,Closed,Open until 11:00 pm,Takeaway,
Sugbahan,3.8,(137),₱₱,Restaurant,881 A. S. Fortuna St,Closed,Closing soon: 10:00 pm,Breakfast Restaurants in Cebu to Start Your Day Right,Chain eatery for Filipino fried chicken
Chicken Inasal & Restaurant,4.2,(94),,Restaurant,6000 Banilad Rd,Closed,Closing soon: 10:00 pm,Delivery,Fast-food fried chicken chain
Neo Neo Restaurant by Ging Ging,4.3,(53),,Restaurant,"Lower Ground Level, J Centre Mall",Temporarily closed,Closing soon: 10:00 pm,Takeaway,Iconic fast-food burger & fries chain
"Ichiriki Chaya, Inc",4.2,(75),,Restaurant,"Ichiriki Chaya Bldg, 869 A. S. Fortuna St",Closed,Open until 11:00 pm,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
Kuya J Restaurant,4.0,(376),₱₱,Filipino,15 N Escario St,Closed,Closing soon: 10:00 pm,Takeaway,
Taitong Steamers Foods,4.2,(25),,Chinese,A. S. Fortuna St,Closed,Closing soon: 10:00 pm,Breakfast Restaurants in Cebu to Start Your Day Right,Chain eatery for Filipino fried chicken
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
The Pala-pala Restaurant By Hyksos,4.1,(101),,Restaurant,"Northdrive Mall, Ouano Avenue",Closed,Closing soon: 10:00 pm,Takeaway,
My Greek Taverna,3.7,(12),,Greek,"BTC Bldg, Gen. M. Cuenco Ave",Closed,Closing soon: 10:00 pm,Takeaway,Korean fried chicken specialist
Chibori Shabu-Shabu & Sushi Bar,3.7,(53),,Japanese,Jose Maria del Mar St,Closed,Closing soon: 10:30 pm,"""The price is a bit high compare to other Philipino restaurant.""",
Pearl Korean Meat Shop & Restaurant,4.3,(162),₱₱,Korean,A. S. Fortuna St,Temporarily closed,Open until 5:00 am,Delivery,Chain with creative burgers & shakes
Taj Indian Restaurant,3.7,(148),₱₱,Indian,"City Time Square, Mantawe Ave",Closed,Open until 11:00 pm,12 of the Best Restaurants in Cebu You’ll Only Find There,
JJUN and BBO Restaurant,4.0,(2),,Korean,"North Gate, Gov. M. Cuenco Ave",Temporarily closed,Open until 4:00 am,Delivery,Fast-food chain with Filipino flavors
Pigafetta,4.1,(46),,Restaurant,"Axis Entertainment Avenue, N Escario St",Closed,Closing soon: 10:00 pm,Takeaway,
Jackies BBQ,4.0,(5),,Takeout Restaurant,Orel,Closed,Closing soon: 10:00 pm,Takeaway,Casual-chic spot for Filipino plates
BARANGAY SEOUL,4.4,(349),,Korean BBQ,945 Juana Osmeña Street,Closed,Open until 12:00 am,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Tokyo Table Cebu,4.3,(94),,Yakiniku,"City Time Square,",Closed,Closing soon: 10:00 pm,Takeaway,"Grilled meats, seafood & Filipino plates"
Kan Anan,4.1,(19),,Filipino,"4th Floor Cebu Parklane International Hotel, Archbishop Reyes Avenue Corner Escario Street",Closed,Open until 11:00 pm,Takeaway,Chain eatery for Filipino fried chicken
Linea Restaurant and Lounge,4.2,(22),,Louisianan,"Asiatown IT Park, Apas Jose Maria del Mar St",Closed,Open until 2:00 am,Delivery,Fast-food chain for grilled burgers
Restaurant Crush On,3.8,(17),,Restaurant,19 Pres. Quirino St,Temporarily closed,Open until 12:00 am,Takeaway,Stylish open-air spot for pub fare
Jollibee,4.1,(434),₱,Fast Food,F. Cabahug St,Open until 11:00 pm,Closed,Delivery · Takeaway,Fast-food chain with Filipino flavors
Jafar's Shawarma,3.7,(30),,Takeout Restaurant,"BTC Bldg, Gov. M. Cuenco Ave",Closed,Closing soon: 10:00 pm,Takeaway,Chain eatery for Filipino fried chicken
Wok'd,3.9,(25),,Thai,"Streetcape, Paseo Saturnino",Closed,Closing soon: 10:00 pm,Delivery,Fast-food fried chicken chain
Puesto Restaurant,4.7,(9),,Restaurant,"The Greenery, Pope John Paul II Ave",Temporarily closed,Open until 12:00 am,Delivery · Takeaway,Iconic fast-food burger & fries chain
DonGa Korean Grilled Meats Restaurant,3.7,(198),,Restaurant,F. Cabahug St,Closed,Open until 5:00 am,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
MC's CASA BLANCA,4.3,(7),,Restaurant,Sta Lucia Village,Closing soon: 10:00 pm,Closed,Takeaway,
Bigby's,3.9,(107),,Restaurant,"ayala center cebu, 176 Archbishop Reyes Ave. Cebu Business Park",Closed,Open until 11:00 pm,Breakfast Restaurants in Cebu to Start Your Day Right,Chain eatery for Filipino fried chicken
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
The Pala-pala Restaurant By Hyksos,4.1,(101),,Restaurant,"Northdrive Mall, Ouano Avenue",Closed,Closing soon: 10:00 pm,Takeaway,
My Greek Taverna,3.7,(12),,Greek,"BTC Bldg, Gen. M. Cuenco Ave",Closed,Closing soon: 10:00 pm,Takeaway,Korean fried chicken specialist
Chibori Shabu-Shabu & Sushi Bar,3.7,(53),,Japanese,Jose Maria del Mar St,Closed,Closing soon: 10:30 pm,"""The price is a bit high compare to other Philipino restaurant.""",
Pearl Korean Meat Shop & Restaurant,4.3,(162),₱₱,Korean,A. S. Fortuna St,Temporarily closed,Open until 5:00 am,Delivery,Chain with creative burgers & shakes
Taj Indian Restaurant,3.7,(148),₱₱,Indian,"City Time Square, Mantawe Ave",Closed,Open until 11:00 pm,12 of the Best Restaurants in Cebu You’ll Only Find There,
JJUN and BBO Restaurant,4.0,(2),,Korean,"North Gate, Gov. M. Cuenco Ave",Temporarily closed,Open until 4:00 am,Delivery,Fast-food chain with Filipino flavors
Pigafetta,4.1,(46),,Restaurant,"Axis Entertainment Avenue, N Escario St",Closed,Closing soon: 10:00 pm,Takeaway,
Jackies BBQ,4.0,(5),,Takeout Restaurant,Orel,Closed,Closing soon: 10:00 pm,Takeaway,Casual-chic spot for Filipino plates
BARANGAY SEOUL,4.4,(349),,Korean BBQ,945 Juana Osmeña Street,Closed,Open until 12:00 am,Kaon Ta! The Ultimate Cebu Food Trip Guide,Casual-chic spot for Filipino plates
Tokyo Table Cebu,4.3,(94),,Yakiniku,"City Time Square,",Closed,Closing soon: 10:00 pm,Takeaway,"Grilled meats, seafood & Filipino plates"
Kan Anan,4.1,(19),,Filipino,"4th Floor Cebu Parklane International Hotel, Archbishop Reyes Avenue Corner Escario Street",Closed,Open until 11:00 pm,Takeaway,Chain eatery for Filipino fried chicken
Linea Restaurant and Lounge,4.2,(22),,Louisianan,"Asiatown IT Park, Apas Jose Maria del Mar St",Closed,Open until 2:00 am,Delivery,Fast-food chain for grilled burgers
Restaurant Crush On,3.8,(17),,Restaurant,19 Pres. Quirino St,Temporarily closed,Open until 12:00 am,Takeaway,Stylish open-air spot for pub fare
Jollibee,4.1,(434),₱,Fast Food,F. Cabahug St,Open until 11:00 pm,Closed,Delivery · Takeaway,Fast-food chain with Filipino flavors
Jafar's Shawarma,3.7,(30),,Takeout Restaurant,"BTC Bldg, Gov. M. Cuenco Ave",Closed,Closing soon: 10:00 pm,Takeaway,Chain eatery for Filipino fried chicken
Blu Bar & Grill,4.3,(337),,Grill,"Marco Polo Plaza Cebu, Cebu Veterans Dr",Closed,Open until 12:00 am,Delivery,Fast-food fried chicken chain
Wild Wings Kitchen,4.0,(8),,Restaurant,"Go Home Bldg, 6000, 341 F. Cabahug St",Temporarily closed,Open until 2:00 am,Delivery · Takeaway,Iconic fast-food burger & fries chain
知暮里 NEW CHIBORI JAPANESE RESTAURANT,3.8,(57),,Restaurant,Jose Maria del Mar St,Closed,Closing soon: 10:30 pm,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
Dagdaks Bar and Restaurant,5.0,(2),,Restaurant,"City Time Square Building, Mantawe Ave",Closed,Open until 12:00 am,Takeaway,
Andiana's Restaurant,3.3,(4),,Restaurant,F. Cabahug St,Closed,Open until 5:00 am,Breakfast Restaurants in Cebu to Start Your Day Right,Chain eatery for Filipino fried chicken
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Balamban Liempo,4.1,(59),,Restaurant,"1, E-Zone, F. Cabahug St",Closed,Closing soon: 10:00 pm,Takeaway,
LeMon Restaurant,5.0,(4),,Buffet,Acacia St,Closed,Closing soon: 10:00 pm,Takeaway,Korean fried chicken specialist
Sushi Boy Japanese-inspired Restaurant,3.8,(62),₱₱,Sushi,"Garden Bloc, W Geonzon St",Closed,Closing soon: 10:00 pm,"""The price is a bit high compare to other Philipino restaurant.""",
MIO Café & Restaurant,3.9,(48),,Filipino,"in.between BIR and Petron station 6000, Archbishop Reyes Ave",Open until 5:00 am,Temporarily closed,Delivery,Chain with creative burgers & shakes
Chicken Boy,3.7,(148),,Takeout Restaurant,J.Pares St.,Open until 11:00 pm,Closed,Takeaway,
Shakey's Pizza Parlor,4.2,(490),₱₱,Pizza,F. Cabahug St,Temporarily closed,Open until 12:00 am,Delivery,Casual pizza chain with a kids' fun zone
Han Guk Kwan,3.8,(304),₱₱,Korean,Salinas Dr,Closing soon: 10:00 pm,Closed,Takeaway,
One Point Restobar(원 포인트),4.0,(9),,Restaurant,Htt building,Closed,Open until 4:00 am,Takeaway,Casual-chic spot for Filipino plates
McDonald's,3.9,(418),₱,Fast Food,"The Walk, Abad St",Open until 12:00 am,Closed,Delivery,Iconic fast-food burger & fries chain
Minnan Seafood restaurant,3.9,(10),,Restaurant,Mantawe Ave,Closed,Closing soon: 10:30 pm,Takeaway,"Grilled meats, seafood & Filipino plates"
Pearl Meat Shop,4.0,(250),,Restaurant,Osmeña Blvd,Closed,Open until 11:00 pm,Takeaway,Chain eatery for Filipino fried chicken
The BADA Korean Restaurant,3.7,(299),,Restaurant,9-3 N Escario St,Closed,Open until 12:00 am,Delivery,Fast-food chain for grilled burgers
The Social,4.1,(673),₱₱,Grill,"Ayala Mall Cebu, Archbishop Reyes Ave",Temporarily closed,Open until 2:00 am,Takeaway,Stylish open-air spot for pub fare
Dae ga unlimited samgyupsal with 20 side dishes,4.1,(90),,Restaurant,Mantawe Ave,Closed,Open until 12:00 am,Delivery · Takeaway,Fast-food chain with Filipino flavors
K-Pub BBQ,3.7,(167),,Korean,Biliran Rd,Closed,Open until 11:00 pm,Takeaway,Chain eatery for Filipino fried chicken
Blu Bar & Grill,4.3,(337),,Grill,"Marco Polo Plaza Cebu, Cebu Veterans Dr",Closed,Open until 12:00 am,Delivery,Fast-food fried chicken chain
Wild Wings Kitchen,4.0,(8),,Restaurant,"Go Home Bldg, 6000, 341 F. Cabahug St",Temporarily closed,Open until 2:00 am,Delivery · Takeaway,Iconic fast-food burger & fries chain
知暮里 NEW CHIBORI JAPANESE RESTAURANT,3.8,(57),,Restaurant,Jose Maria del Mar St,Closed,Closing soon: 10:30 pm,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
Dagdaks Bar and Restaurant,5.0,(2),,Restaurant,"City Time Square Building, Mantawe Ave",Closed,Open until 12:00 am,Takeaway,
Andiana's Restaurant,3.3,(4),,Restaurant,F. Cabahug St,Closed,Open until 5:00 am,Breakfast Restaurants in Cebu to Start Your Day Right,Chain eatery for Filipino fried chicken
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
Soho Park | Cafe & Restaurant,4.2,(226),₱₱,Restaurant,"Asia Premier Residences, Ground Floor, Abad St",Closing soon: 10:00 pm,Closed,Delivery · Takeaway,Modern cafe for global comfort cooking
SOBA KAMAKURA,4.9,(78),,Restaurant,"EC Building, Greenhills Road",Temporarily closed,Open until 1:00 am,Takeaway,Korean fried chicken specialist
Crazy Crab,3.9,(649),₱₱,Seafood,"Gaisano Country Mall, Gov. M. Cuenco Ave",Closed,Opens at 11:00 am,"""The price is a bit high compare to other Philipino restaurant.""",
Somac Korean Restaurant,4.4,(411),₱₱,Korean,Pope John Paul II Ave,Closed,Opens at 10:00 am,Delivery,Chain with creative burgers & shakes
WATDA PHO,4.1,(73),,Vietnamese,"Go Home Bldg, 341 F. Cabahug St",Closing soon: 10:00 pm,Closed,Takeaway,
House of Lechon,4.6,(11),,Filipino,"Dona Carmen Building, 6000, Gov. M. Cuenco Ave",Closed,Opens at 7:00 am,Delivery,Casual pizza chain with a kids' fun zone
Mr. Griddle,4.2,(105),₱₱,Hamburger,Banilad Rd,Closed,Opens at 11:00 am,Takeaway,
Hai Shin Lou Cantonese Restaurant,4.5,(89),,Restaurant,,Closing soon: 10:00 pm,Closed,Takeaway,Casual-chic spot for Filipino plates
Lemon Grass Restaurant,4.1,(203),,Asian,"ayala center cebu, Level 1, The Terraces",Open until 4:00 am,Closed,Delivery,Iconic fast-food burger & fries chain
Max's Restaurant,4.0,(88),₱₱,Filipino,,Open until 1:00 am,Closed,Takeaway,Chain eatery for Filipino fried chicken
Crystal Palace Sze Chuan Chinese Restaurant,4.0,(195),,Restaurant,6000,Closing soon: 10:00 pm,Closed,Takeaway,Chain eatery for Filipino fried chicken
Cherry’s The Spice,4.2,(341),₱₱,Restaurant,Gov. M. Cuenco Ave,Closed,Opens at 10:00 am,"Where to find Vegetarian, Vegan and Jain food in Cebu, Philippines","Grilled meats, seafood & Filipino plates"
Tao Yuan Seafood Restaurant,4.1,(302),,Chinese,"Second Level, JCentre Mall, 165 A. S. Fortuna St",Closed,Opens at 10:00 am,Takeaway,Stylish open-air spot for pub fare
Goong Korean Restaurant,4.4,(22),,Korean,"Ground Floor, Chatswood Residences, A. S. Fortuna St",Closing soon: 10:00 pm,Closed,Delivery · Takeaway,Fast-food chain with Filipino flavors
A Taste Of Mandarin,4.2,(5),,Chinese,"Gaisano Country Mall, Gov. M. Cuenco Ave",Closed,Opens at 8:00 am,Delivery,Fast-food chain with Filipino flavors
Ikkousha Ramen Cebu,4.4,(311),₱₱,Ramen,"JY Square IT Center, 1 Salinas Dr",Closed,Opens at 11:00 am,Delivery,Fast-food fried chicken chain
Noh - Eul,4.6,"(4,181)",,Korean,"M-1, Northgate Centre, Governon Cueco Ave.",Closed,Opens at 9:00 am,Delivery · Takeaway,Refined lodging with a rooftop pool
Party Rang Korean Restaurant,3.8,(43),,Korean,,Closing soon: 10:00 pm,Closed,Delivery · Takeaway,"Grilled meats, seafood & Filipino plates"
Cebus Best,4.5,(191),,Takeout Restaurant,Gov. M. Cuenco Ave,Opens at 9:00 am,Closed,Takeaway,
Murray's New Orleans Restaurant,4.5,(10),,Restaurant,"Ayala Mall, Cardinal Rosales Ave",Opens at 11:00 am,Closed,Breakfast Restaurants in Cebu to Start Your Day Right,Chain eatery for Filipino fried chicken
Port Restaurant,3.7,(291),₱₱,Filipino,"Waterfront Hotel & Casino, Salinas Dr",Closed,Opens at 10:00 am,,
