section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-description,GLOBAL__gm2-caption,GLOBAL__gm2-caption 2,GLOBAL__gm2-caption 3,e0HygkTYhQy__attribute,section-result-info,section-result-header-container,section-result-location
Uncle Tom's Cabin Hotel,4.2,(484),3-star hotel,Unassuming lodging with a restaurant,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,"₱1,161",
Cebu Hostel & Glamping,3.3,(120),Hostel,Relaxed hostel with free breakfast,,,,·,Temporarily closed,"₱1,020",
18 Suites Cebu,4.5,(117),Hotel,Unassuming hotel with free Wi-Fi,Free parking,Free Wi-Fi,,·,Temporarily closed,,
RedDoorz @ Dona Jacinta Basak Mandaue,3.6,(76),Hotel,Casual lodging with dining & water views,Free Wi-Fi,,,·,Temporarily closed,₱900,
Hotel One,4.3,(8),Hotel,,,,,·,Temporarily closed,,
EON Centennial Soho Hotel,3.8,(8),3-star hotel,,,,,·,Temporarily closed,,
Crown Port View Hotel,3.5,(102),2-star hotel,Relaxed lodging with low-key dining,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,"₱1,538",
Travelbee Business Inn,3.9,(219),2-star hotel,Unassuming lodging with a restaurant,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,"₱1,161",
The Partridge Guesthouse - 2.5 Star,4.3,(16),2-star hotel,,,,,·,Temporarily closed,,
Red Planet Cebu,4.0,"(1,056)",2-star hotel,,Free parking,Free Wi-Fi,,·,Temporarily closed,,
Palazzo Pensionne - 2.5 Star,4.2,(163),2-star hotel,Low-key hotel with free breakfast,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,,
RedDoorz @ Bonifacio St Cebu,3.4,(57),2-star hotel,Modest hotel with free breakfast,Free Wi-Fi,,,·,Temporarily closed,,
Alicia Tower Residences,3.9,(228),2-star hotel,Laid-back hostel with a cafeteria,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,,
Seda Central Bloc Cebu,4.1,(10),Hotel,Modest hotel with a restaurant/bar,,,,·,Temporarily closed,"₱1,127",
Zerenity Hotel & Suites,4.0,(209),3-star hotel,,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,₱729,
Hotel Stella,3.3,(268),3-star hotel,,,,,·,Temporarily closed,,Don Gil Garcia St
ZEN Rooms A. Villalon Drive,4.1,(17),3-star hotel,Informal lodging with dining & a pool,,,,·,Temporarily closed,"₱2,890",A. Villalon Dr
RF Suites,3.9,(224),2-star hotel,Casual hotel with dining & event space,,,,·,Temporarily closed,₱848,39-41 A. R. Villanueva St
Wellcome Hotel,3.9,(585),3-star hotel,Casual hotel with dining & a pool,,,,·,Temporarily closed,"₱2,286",18 Molave St
RedDoorz Plus @ AS Fortuna Cebu,3.9,(37),2-star hotel,,,,,·,Temporarily closed,"₱1,430",A. S. Fortuna St
ZEN Rooms M. Velez Street,4.0,(40),3-star hotel,Unassuming lodging with a restaurant,,,,·,Temporarily closed,"₱1,161",827 M. Velez St
Valleyfront Hotel,3.7,(309),3-star hotel,Relaxed hostel with free breakfast,,,,·,Temporarily closed,"₱1,020","V. Rama Avenue, corner 6th St Happy Valley"
J & H Apartments,3.6,(21),Serviced accommodation,Unassuming hotel with free Wi-Fi,,,,·,Temporarily closed,"₱1,100",F. Pacana St
The Henry Hotel Cebu,4.4,(445),4-star hotel,Casual lodging with dining & water views,,,,·,Temporarily closed,₱900,"One Paseo Compound, Ma, Paseo Saturnino"
Adelfa Hotel,4.0,(217),2-star hotel,,,,,·,Temporarily closed,,Don Julio Llorente St
Bunks Hostel,3.6,(16),2-star hotel,,,,,·,Temporarily closed,,Juana Osmeña St
RedDoorz Plus @ Jones Avenue Cebu,3.3,(67),Hotel,Relaxed lodging with low-key dining,,,,·,Temporarily closed,"₱1,538",Osmeña Blvd
Alicia Apartelle,4.2,(378),3-star hotel,Unassuming lodging with a restaurant,,,,·,Temporarily closed,"₱1,161",Gov. M. Cuenco Ave
Chiasti Capsule Hostel,1.0,(1),Hostel,,,,,·,Temporarily closed,,"in.between BIR and Petron station 6000, Archbishop Reyes Ave"
Anri Pension House,3.9,(157),2-star hotel,,,,,·,Temporarily closed,,2nd St
MJ Hotel & Suites,4.0,(199),3-star hotel,Low-key hotel with free breakfast,,,,·,Temporarily closed,"₱1,172",80 Apitong St
Cuarto Hotel Cebu,4.5,(301),3-star hotel,Modest hotel with free breakfast,,,,·,Temporarily closed,₱729,"DJ Llorente and DG, Corner, Don Gil Garcia St"
OYO 157 Casa Venna Pension House,3.2,(25),3-star hotel,Laid-back hostel with a cafeteria,,,,·,Temporarily closed,₱975,"0, Punta Princesa San Lorenzo Village, E. Sabellano Street"
HEDDA HOTEL CEBU,4.1,(11),Hotel,Modest hotel with a restaurant/bar,,,,·,Temporarily closed,"₱1,127",#6 Junquera Ext
@HOME,4.0,(209),Hostel,,,,,·,Temporarily closed,₱729,74 General Maxilom Ave
The Seven Archangels Pension House,3.7,(16),Hostel,,,,,·,Temporarily closed,,
St. Mark Hotel,4.1,(338),3-star hotel,Informal lodging with dining & a pool,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,"₱2,890",
Fuente Oro Business Suites,3.9,(187),3-star hotel,Casual hotel with dining & event space,Free parking,Free Wi-Fi,,·,Temporarily closed,₱848,
MCA Suites,2.8,(4),Serviced apartment,Casual hotel with dining & a pool,,,,·,Temporarily closed,"₱2,286",
Nomads Hub Coliving Hostel Cebu,4.7,(45),Hostel,Relaxed hostel with free breakfast,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,,
Perez Guesthouse,4.0,(40),Lodging,Unassuming lodging with a restaurant,,,,·,Temporarily closed,"₱1,161",
RedDoorz Plus @ Hernan Cortes Cebu,4.0,(8),Hotel,Relaxed hostel with free breakfast,Pool,,,·,Temporarily closed,"₱1,020",
Lylie Hotel,3.9,(86),2-star hotel,Low-key budget lodging with free Wi-Fi,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,,
Diamond Suites and Residences,3.7,(441),3-star hotel,Casual lodging with dining & water views,Pool,Free parking,Free Wi-Fi,·,Temporarily closed,₱900,
Peach Haven,3.8,(12),Hostel,,,,,·,Temporarily closed,,
Soul Travellers - 1.5 Star,5.0,(2),Hostel,,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,,
Escario Central Hotel,4.2,(184),2-star hotel,Relaxed lodging with low-key dining,Free parking,Free Wi-Fi,,·,Temporarily closed,"₱1,538",
Leope Hotel,4.0,(331),3-star hotel,Unassuming lodging with a restaurant,Free parking,Free Wi-Fi,,·,Temporarily closed,"₱1,161",
White Knight Hotel Cebu Mango Avenue,3.9,(35),Hotel,Casual hotel with free breakfast,Pool,Free parking,Free Wi-Fi,·,Temporarily closed,,
Summit Galleria Cebu,4.3,(555),3-star hotel,Trendy lodging with a pool & dining,Pool,Free parking,Free Wi-Fi,·,Temporarily closed,,
Cozy Avida Tower 1 inside I.T park Cebu,5.0,(1),2-star hotel,Low-key hotel with free breakfast,,,,·,Temporarily closed,"₱1,172",
The Golden Peak Hotel & Suites,3.9,(347),3-star hotel,Modest hotel with free breakfast,Free parking,Free breakfast,,·,Temporarily closed,₱729,
Best Western Plus Lex Cebu,4.3,(840),3-star hotel,Laid-back hostel with a cafeteria,Pool,Free parking,Free Wi-Fi,·,Temporarily closed,₱975,
One Central Hotel - 3 Star,4.2,(632),3-star hotel,Modest hotel with a restaurant/bar,Pool,Spa,Free parking,·,Temporarily closed,"₱1,127",
Metro Park Hotel - Cebu City,3.2,(56),2-star hotel,,Pool,Free parking,Free Wi-Fi,·,Temporarily closed,₱729,
RedDoorz near UV Mandaue Cebu,3.9,(39),Hotel,,Free Wi-Fi,,,·,Temporarily closed,,
Travelbee Business Inn,3.9,(219),2-star hotel,Informal lodging with dining & a pool,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,"₱2,890",
Sabina Suites,3.7,(20),2-star hotel,Casual hotel with dining & event space,Free parking,Free Wi-Fi,,·,Temporarily closed,₱848,
Citadines Cebu City,4.8,(35),3-star hotel,Polished apartment hotel with dining,Pool,Free parking,,·,Temporarily closed,,
The Golden Peak Hotel & Suites,3.9,(347),3-star hotel,Relaxed hostel with free breakfast,Free parking,Free breakfast,,·,Temporarily closed,"₱1,020",
Metro Park Hotel - Mandaue,3.8,(153),2-star hotel,Unassuming lodging with a restaurant,Free parking,Free Wi-Fi,,·,Temporarily closed,"₱1,161",
Bugoy Bikers Hostel,4.3,(66),2-star hotel,Relaxed hostel with free breakfast,Free Wi-Fi,,,·,Temporarily closed,"₱1,020",
Fuente Oro Business Suites,3.9,(187),3-star hotel,Low-key budget lodging with free Wi-Fi,Free parking,Free Wi-Fi,,·,Temporarily closed,₱878,
ACE Penzionne,3.7,(115),3-star hotel,Casual lodging with dining & water views,Free parking,Free breakfast,,·,Temporarily closed,₱900,
OYO 628 Bamboo Bay Rli,4.3,(71),Hotel,,,,,·,Temporarily closed,,
Pillows Hotel,4.0,(385),3-star hotel,Laid-back lodging with a cafe & a gym,Free parking,Free Wi-Fi,,·,Temporarily closed,,
RedDoorz Plus @ Maria Christina Arcade,3.8,(35),2-star hotel,Relaxed lodging with low-key dining,Free parking,Free Wi-Fi,,·,Temporarily closed,"₱1,538",
OYO 485 The Rooms By Alinace,3.7,(25),Hotel,Unassuming lodging with a restaurant,Free parking,Free Wi-Fi,,·,Temporarily closed,"₱1,161",
The Beverly Boutique Business Hotel,4.1,(165),3-star hotel,Casual hotel with free breakfast,Free parking,Free Wi-Fi,Free breakfast,·,Temporarily closed,"₱1,995",
Pensionne la Florentina,3.8,(62),2-star hotel,Trendy lodging with a pool & dining,Free Wi-Fi,,,·,Temporarily closed,,
J & H Apartments,3.6,(21),Serviced accommodation,Low-key hotel with free breakfast,,,,·,Temporarily closed,"₱1,172",
Hotel One,4.3,(8),Hotel,Modest hotel with free breakfast,,,,·,Temporarily closed,₱729,
Oftana Suites,3.9,(12),3-star hotel,Laid-back hostel with a cafeteria,Free parking,Free Wi-Fi,,·,Temporarily closed,₱975,
New Era Pension Inn,3.7,(107),2-star hotel,Modest hotel with a restaurant/bar,Free parking,Free Wi-Fi,,·,Temporarily closed,"₱1,127",
Seda Central Bloc Cebu,4.1,(10),Hotel,,,,,·,Temporarily closed,₱729,
May's Home Away From Home,4.7,(22),Serviced accommodation,,,,,·,Temporarily closed,,Sikatuna St
